अकल्यसन्ध	002-16
अखण्डसाम्राज्य	003-16
अंगुलि(ली)संज्ञा	006-27
अजातककुद	008-03
अतोऽर्थम्	009-41
अतोऽर्थात्	009-41
अत्यह	012-13
अनार्तवा	020-17
अनित्यदत्त्रिम	020-34
अनिमित्तनिराक्रिया	020-38
अनुगुणा	022-35
अन्वि(न्वी)तार्थवाद	034-32
अपत्यविक्रय	037-04
अपात्रक्रिया	040-33
अपारण	041-03
अपूर्वविधि	042-16
अप्रतिहतप्रसर	043-24
अभिद्रव	047-26
अभिहितान्वयवाद	052-21
अमर्त्यापगा	056-03
अमर्यादा	056-06
अमर्षशून्य	056-07
अमलपतत्त्रिन्	056-11
अमापर्वन्	056-15
अमांसौदनिक	056-16
अमूर्तगुण	057-22
अमृषाभाषिन्	058-03
अम्बिकेश्वर	058-18
अम्बुसरण	058-20
अम्भसाकृत	059-03
अम्लगन्धि	059-06
अयस्कीट	060-12
अयाचितोपनत	060-13
अयाचितोपस्थित	060-13
अयाचितवृत्ति	060-13
अयुगनेत्र	061-05
अयुगशर	061-05
अयोनिजा	061-15
अयोनिसम्भवा	061-15
अरण्यपंडित	061-24
अरण्यराज	061-24
अरण्येविलपित	061-24
अरालपक्ष्मन्	062-20
अरुणात्मजा	063-09
अरूपहार्य	063-16
अर्कजा	063-25
अर्णवोद्भवा	064-22
अर्थतत्व	065-04
अर्थतोगौरवम्	065-04
अर्थबोध	065-04
अर्थविकल्प	065-04
अर्धखारि	067-03
अर्धविसर्जनीय	067-03
अलक्तराग	068-26
अवगुण्ठनवती	072-04
अवज्ञादुःख	072-32
अवनि(नी)तल	074-13
अवपीडा	074-22
अवशेन्द्रिय	075-37
अवस्त्वारोप	076-33
अवस्तुनिर्बन्ध	076-33
अवाग्भव	077-18
अविचारितनिर्णय	078-02
अव्यक्तादि	079-08
अव्यक्तमार्ग	079-08
अव्ययवर्ग	079-15
अशिवाचार	080-25
अशोकनग	081-08
अशोकपादप	081-08
अशोकवृक्ष	081-08
अश्रुपरिपूर्ण	082-01
अश्रुपरिपूर्णाक्ष	082-01
अश्रुपूर्णेक्षण	082-01
अश्वकुशल	082-06
अश्वनाथ	082-06
अश्वनिबन्धक	082-06
अष्टकर्मन्	083-07
अष्टांगार्घ	083-07
असन्निवृत्ति	086-11
असमनयन	086-14
असमलोचन	086-14
असंबद्धालापिन्	086-21
असिपत्रकवन	087-12
असितकेशा	087-15
असितनयना	087-15
अस्तोदय	088-15
अस्त्रमार्जक	088-22
अस्त्रलाघव	088-22
अस्मादृश्	089-10
अहिजित	090-06
अहिद्रुह्	090-06
अहिनकुल	090-06
अहिमतेजस्	090-11
आक्रोड	093-13
आगमनीत	094-17
आचक्षुष	095-34
आचारधूमग्रहण	095-41
आचारलाज	095-41
आज्ञानुवर्तिन्	096-26
आतपलंघन	097-11
आत्मजय	097-26
आत्मबान्धव	097-26
आत्ममात्रा	097-26
आनन्दमयकोश	101-14
आमत्वच्	104-19
आराधनी	106-30
आस्थाननिकेतन	113-30
इच्छारत	116-13
इडा(ला)गोल	116-17
इन्द्रगोपक	118-02
इन्द्रियवध	118-05
इभपोत	118-09
ईशी	121-01
उक्तिप्रत्युक्ति	121-15
उत्तमस्त्रीसंग्रह	125-17
उत्तरेतर	125-21
उत्तरदिक्पाल	125-21
उत्तरवयस्	125-21
उत्पातपवन	127-17
उदधिकन्या	129-12
उदधितनया	129-12
उदारसत्व	130-14
उद्घट्टना	131-32
उन्मीन	135-10
उपजल्पन	137-05
उपस्थदल	143-28
उभयतोमुखी	146-09
उरगप्रतिसर	146-15
उरच्छद	146-17
उषातन	148-09
उष्णबाष्प	148-14
उष्मकभास्	148-20
ऊहापोह	150-01
एकधर्मन्	152-02
एकभार्या	152-02
ओलड्	156-04
ओल्लागत	156-05
औष्ठ्यवर्ण	158-21
औष्ठ्यस्थान	158-21
औष्ठ्यस्वर	158-21
कंसद्विष्	158-26
कडं(लं)ब	161-29
कंटकभक्षक	162-07
कंटकोद्धारण	162-07
कंटकमर्दन	162-07
कंटकविशोधन	162-07
कण्वदुहितृ	163-11
कथाविपर्यास	164-01
कदभ्यास	164-05
कदर्थना	164-05
कदर्थितभाव	164-05
कदंबकानिल	164-08
कदंबककोरकन्याय	164-08
कदंबकवायु	164-08
कन्यकाजन	165-30
कन्यसी	166-02
कन्यांतःपुर	166-03
कपालमालिनी	166-12
कपित्थास्पद	167-02
कपोतराज	167-09
कफक्षय	167-12
कमलेक्षणा	167-26
कंबी(वी)	168-15
करभार	168-19
करंडिका	169-11
करिशाव	169-23
करुणाविमुख	170-05
करेणुसूत	170-07
कर्णश्राव	170-22
कर्णसंश्रव	170-22
कर्पूरखंड	171-20
कर्मसंन्यासिन्	171-24
कलिक्रिय	174-20
कलिंदगिरि	175-01
कलिंदगिरिजा	175-01
कलिंदगिरितनया	175-01
कलिंदगिरिनंदिनी	175-01
कल्याश	176-03
कल्यापालक	176-04
कश्मीरज	177-03
कस्तुरिकामृग	177-17
काकतालीयन्याय	177-22
काकलि(ली)रव	178-03
कांचनांगी	179-05
कांची(चि)नगरी	179-07
कांडभंग	179-15
कात्यायनीसुत	179-22
